domain,file,relPath,extends_AbstractBusinessTool,has_doExecute,factoryId_in_signature,factoryId_ref_count,suspicious_count,risk,reason
dahua,DahuaDeviceManageTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dahua/DahuaDeviceManageTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
dahua,DahuaDiscoveryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dahua/DahuaDiscoveryTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
dahua,DahuaSmartConfigTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dahua/DahuaSmartConfigTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
bom,EcnApproveTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/bom/EcnApproveTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
bom,EcnCreateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/bom/EcnCreateTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
report,EfficiencyComparisonTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/report/EfficiencyComparisonTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
equipment,EquipmentAnalyzeTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentAnalyzeTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
equipment,EquipmentBreakdownReportTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentBreakdownReportTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
equipment,EquipmentCameraStartTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentCameraStartTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
equipment,EquipmentCcpMonitorTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentCcpMonitorTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
equipment,EquipmentColdChainTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentColdChainTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
equipment,EquipmentDetailTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentDetailTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
equipment,EquipmentHealthDiagnosisTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentHealthDiagnosisTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
equipment,EquipmentListTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentListTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
equipment,EquipmentMaintenanceTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentMaintenanceTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
equipment,EquipmentSearchByNameTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentSearchByNameTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
equipment,EquipmentStartTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentStartTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
equipment,EquipmentStatsTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentStatsTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
equipment,EquipmentStatusQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentStatusQueryTool.java,true,true,true,6,0,LOW,"factoryId 被使用 6 次，无可疑模式"
equipment,EquipmentStatusUpdateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentStatusUpdateTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
equipment,EquipmentStopTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/equipment/EquipmentStopTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
system,ExecuteSwitchTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/ExecuteSwitchTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
hr,ExpenseRequestQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/ExpenseRequestQueryTool.java,true,true,true,6,0,LOW,"factoryId 被使用 6 次，无可疑模式"
config,FactoryConfigAgentTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/config/FactoryConfigAgentTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
system,FactoryFeatureToggleTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/FactoryFeatureToggleTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
system,FactoryNotificationConfigTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/FactoryNotificationConfigTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
finance,FinanceDupontTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/FinanceDupontTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
finance,FinanceLiquidityTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/FinanceLiquidityTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
finance,FinancePptExportTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/FinancePptExportTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
finance,FinanceRoaTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/FinanceRoaTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
finance,FinanceRoeTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/FinanceRoeTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
finance,FinanceSolvencyTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/FinanceSolvencyTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
finance,FinanceStatsTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/FinanceStatsTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
finance,FinancialChartGenerateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/FinancialChartGenerateTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
foodknowledge,FoodKnowledgeQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodknowledge/FoodKnowledgeQueryTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
foodsafety,FoodSampleQueryPendingDisposeTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodsafety/FoodSampleQueryPendingDisposeTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
